order,costum,date,product_id,barcode,weight,sales,year
103049,15247703.0,2018-09-10,12451CRHL,8614498.0,991.63,45,2018
103524,151305.0,2018-01-11,12451CRHL,8614498.0,976.74,45,2018
103524,151305.0,2018-01-11,12451CRHL,8614498.0,982.66,45,2018
103524,151305.0,2018-01-11,12451CRHL,8614498.0,979.99,45,2018
103667,151305.0,2018-08-11,12451CRHL,8614498.0,969.94,45,2018
103667,151305.0,2018-08-11,12451CRHL,8614498.0,978.3,45,2018
103721,151305.0,2018-11-13,12451CRHL,8614498.0,767.46,35,2018
103721,151305.0,2018-11-13,12451CRHL,8614498.0,994.52,45,2018
103721,151305.0,2018-11-13,12451CRHL,8614498.0,991.04,45,2018
104027,151305.0,2018-11-27,12451CRHL,8614498.0,955.28,44,2018
104027,151305.0,2018-11-27,12451CRHL,8614498.0,961.44,45,2018
104027,151305.0,2018-11-27,12451CRHL,8614498.0,988.08,45,2018
104027,151305.0,2018-11-27,12451CRHL,8614498.0,1000.19,45,2018
104027,151305.0,2018-11-27,12451CRHL,8614498.0,982.11,45,2018
104597,150001.0,2018-12-31,12451CRHL,8614498.0,21.59,1,2018
104597,150001.0,2018-12-31,12451CRHL,8614498.0,22.52,1,2018
40507,150109.0,2019-08-04,12451CRHL,8614498.0,21.13,1,2019
40507,150109.0,2019-08-04,12451CRHL,8614498.0,21.89,1,2019
40507,150109.0,2019-08-04,12451CRHL,8614498.0,22.75,1,2019
40507,150109.0,2019-08-04,12451CRHL,8614498.0,22.76,1,2019
40507,150109.0,2019-08-04,12451CRHL,8614498.0,21.64,1,2019
40507,150109.0,2019-08-04,12451CRHL,8614498.0,21.62,1,2019
40507,150109.0,2019-08-04,12451CRHL,8614498.0,21.31,1,2019
40507,150109.0,2019-08-04,12451CRHL,8614498.0,21.54,1,2019
40507,150109.0,2019-08-04,12451CRHL,8614498.0,22.09,1,2019
40507,150109.0,2019-08-04,12451CRHL,8614498.0,21.78,1,2019
40507,150109.0,2019-08-04,12451CRHL,8614498.0,22.64,1,2019
40507,150109.0,2019-08-04,12451CRHL,8614498.0,22.61,1,2019
40507,150109.0,2019-08-04,12451CRHL,8614498.0,21.22,1,2019
40507,150109.0,2019-08-04,12451CRHL,8614498.0,21.21,1,2019
40507,150109.0,2019-08-04,12451CRHL,8614498.0,21.88,1,2019
104862,151305.0,2019-01-14,12451CRHL,8614498.0,981.28,45,2019
104862,151305.0,2019-01-14,12451CRHL,8614498.0,977.99,45,2019
104862,151305.0,2019-01-14,12451CRHL,8614498.0,972.74,45,2019
104862,151305.0,2019-01-14,12451CRHL,8614498.0,983.93,45,2019
104862,151305.0,2019-01-14,12451CRHL,8614498.0,992.16,45,2019
104862,151305.0,2019-01-14,12451CRHL,8614498.0,984.64,45,2019
104862,151305.0,2019-01-14,12451CRHL,8614498.0,996.59,45,2019
104862,151305.0,2019-01-14,12451CRHL,8614498.0,992.02,45,2019
105176,151305.0,2019-01-31,12451CRHL,8614498.0,967.16,45,2019
105176,151305.0,2019-01-31,12451CRHL,8614498.0,976.04,45,2019
105176,151305.0,2019-01-31,12451CRHL,8614498.0,992.55,45,2019
105176,151305.0,2019-01-31,12451CRHL,8614498.0,968.75,45,2019
105176,151305.0,2019-01-31,12451CRHL,8614498.0,922.61,42,2019
105176,151305.0,2019-01-31,12451CRHL,8614498.0,960.21,45,2019
105321,151305.0,2019-07-02,12451CRHL,8614498.0,958.91,45,2019
105321,151305.0,2019-07-02,12451CRHL,8614498.0,955.96,45,2019
106045,150118.0,2019-12-03,12451CRHL,8614498.0,21.4,1,2019
106045,150118.0,2019-12-03,12451CRHL,8614498.0,22.01,1,2019
106045,150118.0,2019-12-03,12451CRHL,8614498.0,21.51,1,2019
106045,150118.0,2019-12-03,12451CRHL,8614498.0,22.05,1,2019
106045,150118.0,2019-12-03,12451CRHL,8614498.0,22.76,1,2019
106104,151305.0,2019-03-14,12451CRHL,8614498.0,986.97,45,2019
106104,151305.0,2019-03-14,12451CRHL,8614498.0,1006.46,46,2019
106104,151305.0,2019-03-14,12451CRHL,8614498.0,988.7,45,2019
106104,151305.0,2019-03-14,12451CRHL,8614498.0,984.39,45,2019
106285,150109.0,2019-03-24,12451CRHL,8614498.0,22.6,1,2019
106285,150109.0,2019-03-24,12451CRHL,8614498.0,21.81,1,2019
106285,150109.0,2019-03-24,12451CRHL,8614498.0,22.55,1,2019
106285,150109.0,2019-03-24,12451CRHL,8614498.0,22.36,1,2019
106285,150109.0,2019-03-24,12451CRHL,8614498.0,21.53,1,2019
106317,151305.0,2019-03-25,12451CRHL,8614498.0,986.22,45,2019
106317,151305.0,2019-03-25,12451CRHL,8614498.0,986.33,45,2019
106467,151305.0,2019-01-04,12451CRHL,8614498.0,1018.23,45,2019
106467,151305.0,2019-01-04,12451CRHL,8614498.0,1017.73,45,2019
